Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,发送 KB/sec
419 /mmopen/vi_32/PPIC3MHpGHZtDicgicD1laZpvLXO6zj7ZL6JWMaogND2k8tblnRvp8kjH4NsheUFgBbqQicNTFVqicyukFjobicbnlg/132,3951,50,43,80,88,103,5,4445,0.00%,0.28958,1.51,0.15
418 /mmopen/vi_32/DYAIOgq83eruicxO0E8tv0aTY6s6kEicfYPCjURoRzicNKG3uQzB90oaLmNAh7YicEEZnUUCdXm1JANOQBe4zoric0A/132,3951,62,43,102,104,114,5,414,0.00%,0.28958,1.51,0.15
快递发货1,3951,537,417,731,1004,2888,58,10246,0.08%,0.28959,7.73,0.82
361 /bp/static/css/chunk-546a.22ff1161.css,3951,20,9,36,59,175,1,4603,0.00%,0.2896,0.29,0.12
362 /bp/static/js/chunk-546a.ec60cb74.js,3951,18,7,33,56,175,2,4766,0.00%,0.2896,3.24,0.11
364 /api-manager-web/manager/api.do,3951,56,47,82,110,214,20,1077,0.00%,0.2896,0.58,0.27
363 /api-order-web/order/api.do,3951,440,346,567,728,2691,3,10068,0.08%,0.28959,3.63,0.31
客户营销1,3951,163,123,264,369,734,75,5540,0.00%,0.28957,3.54,0.56
616 /vue/marketing/static/js/42.437ee8f594cb822240f7.js,3951,19,9,39,60,180,2,1643,0.00%,0.28957,0.58,0.12
618 /vue/marketing/static/js/42.437ee8f594cb822240f7.js.map,3951,18,8,35,57,172,2,4457,0.00%,0.28958,2.33,0.1
617 /mkt-api/v1/b/app/menu,3951,57,44,87,124,254,24,4871,0.00%,0.28958,0.46,0.17
619 /mkt-api/v1/b/app/topmenu,3951,67,56,96,136,263,33,1072,0.00%,0.28958,0.16,0.16
新建分类1,3951,60,27,104,183,474,7,5840,0.00%,0.28958,0.35,0.34
330 /web-file/file-server/api_file_remote_upload.do,3951,25,11,42,65,160,3,5422,0.00%,0.28958,0.09,0.13
329 /bp/static/UEditor/themes/iframe.css,3951,18,7,35,55,161,1,4595,0.00%,0.28958,0.1,0.1
331 /bp/static/UEditor/dialogs/xiumi/xiumi-ue-v5.css,3951,16,6,33,53,154,1,4638,0.00%,0.28958,0.15,0.11
商品分类1,7803,209,230,336,388,566,45,5116,0.00%,0.57047,13.75,1.6
210 /api-commodity-web/commodity/api.do,3951,97,71,137,198,382,41,4858,0.00%,0.28958,8.9,0.28
211 /bp/null,3951,20,9,34,57,166,3,4605,0.00%,0.28958,1.85,0.11
渠道应用1,3951,581,527,696,806,1267,451,6320,0.00%,0.28959,4.28,0.56
604 /vue/marketing/static/js/59.1fef134db15b7f918e6a.js,3951,18,8,34,52,142,2,4625,0.00%,0.2896,0.58,0.12
607 /vue/marketing/static/js/59.1fef134db15b7f918e6a.js.map,3951,18,7,32,52,160,2,5249,0.00%,0.2896,2.33,0.1
606 /mkt-api/v1/b/app/topmenu,3951,69,56,93,125,279,33,4928,0.00%,0.2896,0.16,0.16
605 /mkt-api/v1/b/app/menu,3951,476,451,514,577,716,395,4997,0.00%,0.28959,1.22,0.17
查看发货信息1,3951,254,189,343,438,708,55,18277,0.08%,0.28957,2.72,0.73
392 /api-order-web/order/api.do,3951,68,45,89,119,280,13,16893,0.08%,0.28958,0.23,0.28
391 /api-order-web/order/api.do,3951,124,91,149,193,322,6,18193,0.03%,0.28958,2.38,0.28
393 /mkt-api/v1/b/order-after-sale/order-rewards/100004530,3951,61,48,92,132,266,26,1570,0.00%,0.28958,0.12,0.17
消息设置1,3951,164,121,249,357,804,66,5075,0.00%,0.2896,13.41,0.5
627 /bp/static/css/chunk-716d.8f597973.css,3951,15,7,33,53,146,2,315,0.00%,0.2896,0.38,0.12
628 /bp/static/js/chunk-716d.da0b0006.js,3951,16,7,34,49,147,2,2243,0.00%,0.2896,2.74,0.11
629 /api-manager-web/manager/api.do,3951,132,103,181,262,471,53,5041,0.00%,0.2896,10.29,0.27
创意设计1,3951,262,233,346,434,646,160,5433,0.00%,0.28959,3.2,0.59
164 /api-decoration-web/decoration/api.do,3951,75,64,102,135,263,36,5053,0.00%,0.2896,0.76,0.28
163 /api-decoration-web/decoration/api.do,3951,186,167,237,296,449,109,4705,0.00%,0.2896,2.44,0.31
微信店铺1,3951,4634,4168,6004,7972,10819,3312,15282,100.00%,0.28952,43.8,9.67
118 /api-decoration-web/decoration/api.do,3951,68,59,98,128,210,35,1054,0.00%,0.2896,0.66,0.28
141 /mkt-api/v1/c/package-buy/get-package-buy-list,3951,139,119,187,238,388,73,4659,0.00%,0.28959,0.56,0.18
151 /mkt-api/v1/c/app-group-buy/listGoods,3951,56,43,83,118,251,24,4667,0.00%,0.28958,0.07,0.17
133 /api-commodity-web/commodity/api.do,3951,103,87,145,196,326,48,4969,0.00%,0.28958,2.58,0.32
128 /api-commodity-web/commodity/api.do,3951,101,83,138,183,305,44,4693,0.00%,0.28958,1.33,0.29
137 /mkt-api/v1/c/app-group-buy/listGoods,3951,78,64,103,139,278,36,4740,0.00%,0.2896,0.07,0.19
138 /mkt-api/v1/c/app-reward,3951,53,39,80,115,253,20,4856,0.00%,0.2896,0.07,0.17
149 /mkt-api/v1/c/seckill/get-activity-goods,3951,176,155,228,301,422,101,4854,100.00%,0.2896,0.07,0.18
140 /mkt-api/v1/c/app-group-buy/listGoods,3951,80,63,99,131,280,38,4860,0.00%,0.2896,0.07,0.19
157 /mkt-api/v1/c/seckill/get-activity-goods,3951,182,156,230,309,476,103,4718,100.00%,0.2896,0.07,0.18
122 /api-decoration-web/decoration/api.do,3951,55,45,83,109,203,23,4717,0.00%,0.2896,0.18,0.28
139 /mkt-api/v1/c/app-group-buy/listGoods,3951,55,42,75,110,263,24,4395,0.00%,0.2896,0.07,0.17
127 /mkt-api/v1/c/limit-discount/get-activity-goods,3951,171,152,222,274,419,100,4759,100.00%,0.2896,0.07,0.18
131 /mkt-api/v1/c/limit-discount/get-activity-goods,3951,268,243,341,450,590,171,4498,100.00%,0.28962,0.07,0.2
136 /mkt-api/v1/c/goodsbale/list/346507174823989248,3951,56,44,84,120,257,25,3327,0.00%,0.2896,0.32,0.17
126 /mkt-api/v1/c/seckill/get-activity-goods,3951,173,156,229,280,387,102,4470,100.00%,0.2896,0.07,0.18
150 /api-decoration-web/decoration/api.do,3951,110,96,141,177,329,59,4928,0.00%,0.2896,2.29,0.34
142 /mkt-api/v1/c/app-group-buy/listGoods,3951,74,62,96,127,277,37,4964,0.00%,0.28962,0.07,0.17
124 /api-manager-web/manager/api.do,3951,55,46,77,102,181,22,4584,0.00%,0.28962,0.58,0.27
134 /api-commodity-web/commodity/api.do,3951,84,71,121,152,288,40,4372,0.00%,0.28962,0.75,0.29
156 /mkt-api/v1/c/seckill/get-activity-goods,3951,179,157,233,294,442,102,4581,100.00%,0.28962,0.07,0.18
153 /mkt-api/v1/c/seckill/get-activity-goods,3951,179,155,228,301,438,99,4582,100.00%,0.28962,0.07,0.18
144 /api-decoration-web/decoration/api.do,3951,109,93,139,174,321,60,4765,0.00%,0.28962,2.29,0.34
130 /mkt-api/v1/c/limit-discount/get-activity-goods,3951,138,121,186,230,368,75,4440,100.00%,0.28962,0.07,0.18
121 /api-decoration-web/decoration/api.do,3951,106,91,137,174,310,59,4956,0.00%,0.28962,2.29,0.34
125 /api-manager-web/manager/api.do,3951,54,47,77,102,196,23,1086,0.00%,0.28962,0.58,0.27
145 /api-decoration-web/decoration/api.do,3951,104,91,135,168,314,61,4229,0.00%,0.28962,2.29,0.34
155 /mkt-api/v1/c/seckill/get-activity-goods,3951,180,157,226,282,420,104,5604,100.00%,0.28962,0.07,0.18
132 /mkt-api/v1/c/limit-discount/get-activity-goods,3951,231,206,295,391,487,147,4932,100.00%,0.28962,0.07,0.18
148 /mkt-api/v1/c/limit-discount/get-activity-goods,3951,270,242,336,437,573,177,4743,100.00%,0.28961,0.07,0.2
146 /mkt-api/v1/c/app-group-buy/listGoods,3951,56,42,79,111,263,23,4498,0.00%,0.28962,0.07,0.17
143 /api-commodity-web/commodity/api.do,3951,82,67,116,145,281,38,4568,0.00%,0.28962,0.43,0.29
147 /mkt-api/v1/c/goodsbale/list/346507174823989248,3951,54,43,76,109,254,24,4501,0.00%,0.28962,0.32,0.17
119 /api-manager-web/manager/api.do,3951,53,45,74,98,195,22,1065,0.00%,0.28962,0.58,0.27
152 /api-commodity-web/commodity/api.do,3951,132,108,185,255,403,58,4938,0.00%,0.28962,6.52,0.36
120 /api-decoration-web/decoration/api.do,3951,73,62,99,127,234,32,4690,0.00%,0.28962,0.21,0.28
135 /api-commodity-web/commodity/api.do,3951,79,66,113,147,283,39,4570,0.00%,0.28962,0.89,0.32
123 /api-decoration-web/decoration/api.do,3951,130,117,154,186,296,88,4715,0.00%,0.28962,0.14,0.28
129 /api-commodity-web/commodity/api.do,3951,147,125,206,266,441,71,4975,0.00%,0.28962,9.21,0.38
154 /api-commodity-web/commodity/api.do,3951,122,102,163,213,391,58,4900,0.00%,0.28962,7.45,0.34
营收状况1,3951,198,165,276,368,688,108,4876,0.00%,0.28961,4.1,0.82
549 /bp/static/css/chunk-e68f.30679504.css,3951,15,7,30,47,152,2,1528,0.00%,0.28962,0.43,0.12
550 /bp/static/js/chunk-e68f.999f57c4.js,3951,16,7,25,44,136,2,4625,0.00%,0.28962,2.82,0.12
551 /api-financial-web/financial/api.do,3951,85,74,115,160,274,47,408,0.00%,0.28962,0.71,0.3
552 /api-financial-web/financial/api.do,3951,81,71,109,151,266,44,1067,0.00%,0.28962,0.14,0.28
概况1,3951,585,530,743,898,1394,306,13296,0.00%,0.28961,5.89,1.25
115 /api-behavior-web/behavior/api.do,3951,222,224,297,342,481,72,4859,0.00%,0.28962,0.17,0.27
116 /api-order-web/order/api.do,3951,105,84,125,164,294,52,12878,0.00%,0.28962,0.14,0.27
113 /api-manager-web/manager/api.do,3951,54,45,71,93,191,21,4568,0.00%,0.28962,0.58,0.27
114 /mkt-api/v1/b/app/my,3951,116,96,164,209,405,53,4692,0.00%,0.28962,4.87,0.17
117 /api-commodity-web/commodity/api.do,3951,86,74,124,158,283,41,1248,0.00%,0.28962,0.13,0.27
分类管理1,3951,345,324,399,457,605,251,5016,0.00%,0.28961,2,0.31
324 /api-decoration-web/decoration/api.do,3951,345,324,399,457,605,251,5016,0.00%,0.28961,2,0.31
收支明细1,3951,114,88,159,227,479,56,5144,0.00%,0.28964,5.53,0.62
553 /bp/static/css/chunk-180a.bd4d9874.css,3951,17,7,31,47,164,2,4694,0.00%,0.28964,0.29,0.12
554 /bp/static/js/chunk-180a.cadb327b.js,3951,14,7,27,45,133,2,1008,0.00%,0.28964,3.62,0.12
555 /api-financial-web/financial/api.do,3951,82,69,103,141,276,44,4845,0.00%,0.28964,1.62,0.38
批量改价1,3951,321,272,453,569,1126,163,5555,0.00%,0.28962,29.12,0.82
219 /bp/static/js/chunk-36a8.690f3f5b.js,3951,16,8,29,45,156,2,1249,0.00%,0.28962,3.49,0.11
218 /bp/static/css/chunk-36a8.abce21dd.css,3951,14,7,23,39,119,2,4596,0.00%,0.28962,0.56,0.12
221 /api-commodity-web/commodity/api.do,3951,96,81,141,182,355,45,655,0.00%,0.28962,8.91,0.27
220 /api-commodity-web/commodity/api.do,3951,194,168,269,343,571,92,4865,0.00%,0.28962,16.16,0.31
注册协议1,3951,504,327,703,1307,4523,163,9514,0.00%,0.28961,204.95,2.21
188 /bp/static/css/chunk-8782.a723d8e0.css,3951,17,7,31,50,164,2,3191,0.00%,0.28962,0.4,0.12
189 /bp/static/js/chunk-8782.13bbe8c5.js,3951,13,7,26,42,128,2,1020,0.00%,0.28962,3.04,0.12
187 /bp/static/js/chunk-f30ad.51fb90df.js,3951,22,13,41,61,182,4,1030,0.00%,0.28962,8.16,0.12
190 /bp/static/UEditor/ueditor.config.js,3951,19,12,35,56,148,3,1066,0.00%,0.28962,6.88,0.12
192 /bp/static/UEditor/ueditor.all.min.js,3951,146,88,228,400,1243,27,5689,0.00%,0.28962,108.26,0.12
191 /api-public-web/public/api.do,3951,69,58,87,115,293,35,4414,0.00%,0.28964,2.2,0.28
193 /bp/static/UEditor/lang/zh-cn/zh-cn.js,3951,20,10,33,52,252,3,1505,0.00%,0.28966,8.4,0.12
194 /bp/static/UEditor/themes/default/css/ueditor.css,3951,14,8,23,38,123,3,1012,0.00%,0.28966,2.44,0.12
195 /web-file/file-server/api_file_remote_upload.do,3951,17,9,29,44,125,3,4398,0.00%,0.28966,0.09,0.13
196 /bp/static/UEditor/themes/default/images/xiumi_logo.png,3951,10,5,19,33,115,2,1058,0.00%,0.28966,1.36,0.13
198 /bp/static/UEditor/themes/default/images/scale.png,3951,13,6,24,41,119,1,4220,0.00%,0.28966,0.14,0.14
199 /bp/static/UEditor/themes/iframe.css,3951,11,5,21,36,128,1,1040,0.00%,0.28966,0.1,0.1
197 /bp/static/UEditor/themes/default/images/icons.png,3951,15,7,23,43,169,2,4235,0.00%,0.28966,5.67,0.14
201 /bp/static/UEditor/third-party/codemirror/codemirror.css,3951,14,6,26,45,132,2,1028,0.00%,0.28966,0.38,0.13
203 /bp/static/UEditor/dialogs/xiumi/xiumi-ue-v5.css,3951,11,5,23,39,115,1,1010,0.00%,0.28966,0.15,0.11
202 /bp/static/UEditor/third-party/zeroclipboard/ZeroClipboard.js,3951,23,12,37,63,255,4,1600,0.00%,0.28966,12.32,0.12
200 /bp/static/UEditor/third-party/codemirror/codemirror.js,3951,62,35,92,160,603,12,5130,0.00%,0.28966,44.96,0.12
子账号管理1,3951,180,127,244,381,1402,66,5578,0.00%,0.28966,91.43,0.53
656 /bp/static/css/chunk-c25f.e25d7c6a.css,3951,12,6,22,36,147,2,468,0.00%,0.28966,0.26,0.12
657 /bp/static/js/chunk-c25f.da2d8d43.js,3951,10,5,18,32,114,2,832,0.00%,0.28966,1.54,0.11
658 /api-manager-web/manager/api.do,3951,157,113,213,331,1074,56,5295,0.00%,0.28966,89.63,0.3
商品交易1,3951,300407,300414,300640,300868,302990,52624,307670,99.60%,0.28342,12.22,1.46
472 /bp/static/css/chunk-b4d9.e5f79548.css,3951,15,7,27,44,156,2,4729,0.00%,0.28966,0.43,0.12
473 /bp/static/js/chunk-b4d9.de12c12a.js,3951,15,6,22,39,114,2,4367,0.00%,0.28966,2.84,0.12
471 /bp/static/js/chunk-1205.c4dc7f0a.js,3951,19,8,27,46,208,3,5416,0.00%,0.28966,8.47,0.12
474 /api-behavior-web/behavior/api.do,3951,131,117,176,223,338,72,4242,0.00%,0.28964,0.16,0.28
476 /api-behavior-web/behavior/api.do,3951,112,98,153,193,316,52,4650,0.00%,0.28964,0.25,0.3
477 /matrix-admin/matrix/api.do,3951,165,144,211,246,377,108,4664,0.00%,0.28964,0.28,0.27
475 /api-behavior-web/behavior/api.do,3951,299946,300006,300041,300091,301682,52279,304171,99.60%,0.28341,0.06,0.27
商品导入1,3855,119,96,167,238,413,52,4786,0.00%,0.28842,6.15,0.51
216 /bp/static/js/chunk-567e.453f6c61.js,3855,27,14,50,80,225,4,3027,0.00%,0.28842,1.93,0.11
215 /bp/static/css/chunk-567e.8a7de1ae.css,3855,16,7,28,43,77,3,4557,0.00%,0.28842,2.05,0.12
217 /api-commodity-web/commodity/api.do,3855,76,69,99,117,253,41,4660,0.00%,0.28842,2.17,0.28
查看发货1,3854,210,170,262,333,503,67,14019,0.05%,0.28847,2.72,0.72
381 /api-order-web/order/api.do,3854,57,42,72,88,209,6,12004,0.05%,0.28847,0.23,0.27
380 /mkt-api/v1/b/order-after-sale/order-rewards/100004303,3854,57,44,81,121,251,27,4612,0.00%,0.28847,0.12,0.17
379 /api-order-web/order/api.do,3854,95,77,113,132,289,4,13817,0.03%,0.28849,2.38,0.28
路径转化1,3854,6027,5729,8721,11639,26099,1511,42830,0.00%,0.28848,0.49,0.57
466 /matrix-admin/matrix/api.do,3854,163,146,213,243,366,109,4622,0.00%,0.28851,0.28,0.27
465 /api-behavior-web/behavior/api.do,3854,5864,5570,8540,11449,25907,1331,42689,0.00%,0.28848,0.21,0.3
会员设置1,3854,84,69,126,159,325,31,4331,0.00%,0.28877,1.55,0.5
637 /bp/static/css/chunk-3693.a67f0e5e.css,3854,22,13,45,57,124,2,3009,0.00%,0.28877,0.24,0.12
638 /bp/static/js/chunk-3693.c29b1990.js,3854,10,6,21,32,64,2,318,0.00%,0.28878,0.73,0.11
639 /api-manager-web/manager/api.do,3854,51,45,68,82,146,22,4283,0.00%,0.28877,0.58,0.27
店铺导航1,3854,133,120,168,207,352,69,4536,0.00%,0.28877,4.03,0.56
303 /api-manager-web/manager/api.do,3854,49,44,66,79,127,20,4372,0.00%,0.28877,0.58,0.27
304 /api-decoration-web/decoration/api.do,3854,84,74,108,129,282,41,4254,0.00%,0.2888,3.45,0.29
特色玩法1,3854,145,122,203,268,440,75,4934,0.00%,0.28879,4.29,0.55
612 /vue/marketing/static/js/64.b82f3434ff768c92a1a2.js,3854,11,6,25,36,75,2,1024,0.00%,0.2888,0.58,0.12
614 /mkt-api/v1/b/app/topmenu,3854,65,54,86,114,262,32,4534,0.00%,0.28879,0.16,0.16
613 /mkt-api/v1/b/app/menu,3854,55,47,77,97,250,28,1135,0.00%,0.2888,1.25,0.16
615 /vue/marketing/static/js/64.b82f3434ff768c92a1a2.js.map,3854,12,7,24,36,68,2,1021,0.00%,0.2888,2.3,0.1
积分消耗1,3854,1531,1439,1948,2154,3127,861,6560,0.00%,0.28877,0.63,0.61
548 /matrix-admin/matrix/api.do,3854,60,54,79,96,177,29,4320,0.00%,0.28879,0.51,0.28
547 /api-behavior-web/behavior/api.do,3854,1471,1382,1879,2098,3046,824,6502,0.00%,0.28875,0.12,0.33
素材管理1,3854,439,354,627,805,1711,206,9883,0.00%,0.28881,171.31,0.94
177 /bp/static/css/chunk-0800.6388a2d2.css,3854,18,9,36,53,107,3,1635,0.00%,0.28882,2.64,0.12
178 /bp/static/js/chunk-0800.431bf233.js,3854,40,23,66,94,216,6,9608,0.00%,0.28882,15.79,0.11
176 /bp/static/js/chunk-31f7.e6007105.js,3854,34,22,60,87,218,6,4546,0.00%,0.28882,16.82,0.11
179 /api-decoration-web/decoration/api.do,3854,106,99,130,148,232,69,4433,0.00%,0.28882,2.7,0.31
180 /api-decoration-web/decoration/api.do,3854,239,187,367,486,982,84,5097,0.00%,0.28881,133.37,0.28
启动广告1,3854,160,142,212,257,406,87,4612,0.00%,0.28882,4.51,0.82
166 /bp/static/js/chunk-d656.670562b1.js,3854,13,9,26,37,68,2,1006,0.00%,0.28882,2.56,0.12
165 /bp/static/css/chunk-d656.ba5ad5b2.css,3854,10,6,21,31,50,1,1042,0.00%,0.28882,0.3,0.12
168 /api-manager-web/manager/api.do,3854,48,44,64,74,140,23,1142,0.00%,0.28882,0.58,0.27
167 /api-decoration-web/decoration/api.do,3854,87,79,114,133,232,47,4531,0.00%,0.28882,1.08,0.31
工具应用1,3854,142,115,195,268,461,73,5044,0.00%,0.28882,3.51,0.59
600 /vue/marketing/static/js/61.6cd5de3a6fc56fef0a0f.js,3854,12,7,27,40,80,2,353,0.00%,0.28882,0.58,0.16
603 /vue/marketing/static/js/61.6cd5de3a6fc56fef0a0f.js.map,3854,12,7,25,36,70,2,427,0.00%,0.28882,2.3,0.1
601 /mkt-api/v1/b/app/menu,3854,53,41,69,92,253,24,4841,0.00%,0.28882,0.47,0.16
602 /mkt-api/v1/b/app/topmenu,3854,64,54,80,98,263,31,4538,0.00%,0.28882,0.16,0.16
店铺风格1,3854,1078,724,1842,2786,6656,278,20028,0.00%,0.2888,1565.67,0.64
172 /bp/static/css/chunk-5491.27c0714a.css,3854,12,7,26,37,86,2,1005,0.00%,0.28882,0.34,0.12
173 /bp/static/js/chunk-5491.99947efc.js,3854,877,573,1498,2312,6012,190,18875,0.00%,0.2888,1375.8,0.12
174 /api-decoration-web/decoration/api.do,3854,72,63,100,122,213,33,4573,0.00%,0.28882,0.2,0.27
175 /bp/static/img/goodsDetail12.2dd8970.png,3854,116,68,217,341,762,25,6084,0.00%,0.28884,189.37,0.13
客户信息1,3854,210,186,287,355,509,112,4806,0.00%,0.28884,22.62,1
487 /bp/static/css/chunk-54b9.5a6beb64.css,3854,13,7,27,39,91,2,1008,0.00%,0.28884,0.4,0.12
486 /bp/static/js/Eq48.ccd7f05f.js,3854,16,10,31,47,89,4,1071,0.00%,0.28884,17.41,0.12
488 /bp/static/js/chunk-54b9.5b49cb51.js,3854,10,7,22,30,53,2,270,0.00%,0.28884,4.11,0.12
490 /matrix-admin/matrix/api.do,3854,59,54,77,88,164,29,1115,0.00%,0.28884,0.58,0.28
489 /api-behavior-web/behavior/api.do,3854,109,99,142,162,284,60,4725,0.00%,0.28884,0.12,0.37
会员消费1,3854,1502,730,3120,4779,21090,228,93462,1.01%,0.28882,3,0.61
467 /zh-CN/livetile/preinstall,3854,1375,600,2969,4546,21000,153,93383,1.01%,0.28882,1.29,0.07
468 /bp/static/css/chunk-33c7.f3876485.css,3853,17,9,32,44,93,2,4250,0.00%,0.28879,0.24,0.12
469 /bp/static/js/chunk-33c7.821b59db.js,3853,9,5,19,28,47,2,1022,0.00%,0.28879,0.96,0.11
470 /api-behavior-web/behavior/api.do,3853,98,88,129,148,286,50,4641,0.00%,0.28879,0.51,0.3
提现设置1,3853,71,61,101,123,200,30,4547,0.00%,0.28878,2.73,0.5
650 /bp/static/js/chunk-212d.a105ada7.js,3853,11,6,23,32,52,2,1013,0.00%,0.28879,1.87,0.11
649 /bp/static/css/chunk-212d.019500fc.css,3853,10,6,21,31,45,2,1160,0.00%,0.28879,0.28,0.12
651 /api-manager-web/manager/api.do,3853,49,44,65,75,107,21,4527,0.00%,0.28879,0.58,0.27
店铺促销1,3853,147,125,199,269,396,79,4974,0.00%,0.28878,4.81,0.56
608 /vue/marketing/static/js/25.2db2495c92361f93fd86.js,3853,11,6,23,32,61,2,1020,0.00%,0.28879,0.58,0.12
611 /vue/marketing/static/js/25.2db2495c92361f93fd86.js.map,3853,12,6,22,32,52,2,4491,0.00%,0.28879,2.32,0.1
609 /mkt-api/v1/b/app/topmenu,3853,64,54,81,102,272,33,4759,0.00%,0.28879,0.16,0.16
610 /mkt-api/v1/b/app/menu,3853,60,51,81,100,259,32,1104,0.00%,0.28876,1.75,0.17
商品列表1,3853,259,234,344,411,581,153,4827,0.00%,0.28876,25.01,0.58
209 /api-commodity-web/commodity/api.do,3853,88,74,114,141,282,45,4549,0.00%,0.28876,8.88,0.27
208 /api-commodity-web/commodity/api.do,3853,170,156,226,271,402,90,789,0.00%,0.28876,16.13,0.31
客户标签1,3853,229,181,389,502,730,64,4894,0.00%,0.28876,4.98,0.52
420 /bp/static/css/chunk-5951.17bfe6ac.css,3853,14,7,24,35,63,2,4437,0.00%,0.28877,0.59,0.12
421 /bp/static/js/chunk-5951.4ed2bfd4.js,3853,10,6,21,31,46,2,1016,0.00%,0.28877,1.84,0.11
422 /api-member-web/member/api.do,3853,204,158,357,476,697,49,4849,0.00%,0.28876,2.55,0.28
300 /api-manager-web/manager/api.do,3852,51,46,67,78,122,22,4589,0.00%,0.28869,0.58,0.27
299 /api-decoration-web/decoration/api.do,3851,63,57,84,99,162,34,1070,0.00%,0.28861,0.37,0.28
301 /api-decoration-web/decoration/api.do,3851,94,88,118,133,212,53,4338,0.00%,0.28861,1.08,0.35
302 /api-decoration-web/decoration/api.do,3850,92,84,116,134,283,54,4600,0.00%,0.2888,1.08,0.35
页面模板1,3850,27,19,51,71,146,6,1145,0.00%,0.28878,6.04,0.24
181 /bp/static/css/chunk-9ac1.c996cab9.css,3850,11,6,25,36,50,2,1082,0.00%,0.28878,1.01,0.12
182 /bp/static/js/chunk-9ac1.aa974d37.js,3850,16,10,34,45,88,3,431,0.00%,0.28878,5.04,0.12
会员卡1,3850,449,401,613,692,948,250,6757,0.00%,0.28877,31.62,1.46
436 /bp/static/css/chunk-d07c.5934dcc2.css,3850,11,7,23,33,64,2,1024,0.00%,0.28878,0.49,0.12
437 /bp/static/js/chunk-d07c.c6655906.js,3850,12,8,26,37,68,2,229,0.00%,0.28878,4.45,0.12
435 /bp/static/js/s6Cc.b9ae4913.js,3850,32,20,54,74,152,5,4738,0.00%,0.28878,17.63,0.11
440 /api-member-web/member/api.do,3850,88,78,111,131,276,47,4774,0.00%,0.28877,1.45,0.27
439 /api-member-web/member/api.do,3850,78,70,105,127,256,42,373,0.00%,0.28878,1.72,0.29
441 /api-member-web/member/api.do,3850,76,68,106,124,256,38,1091,0.00%,0.28878,0.2,0.27
438 /api-member-web/member/api.do,3850,149,110,287,319,407,61,4278,0.00%,0.28878,5.68,0.29
互动营销1,3850,132,109,177,229,396,69,4717,0.00%,0.28878,3.35,0.56
620 /vue/marketing/static/js/27.c1be3347fff06b41d0b5.js,3850,13,6,25,38,59,2,4372,0.00%,0.28878,0.58,0.13
621 /mkt-api/v1/b/app/menu,3850,46,39,64,78,231,22,1072,0.00%,0.28878,0.27,0.17
622 /mkt-api/v1/b/app/topmenu,3850,60,52,77,94,258,31,1083,0.00%,0.2888,0.16,0.16
623 /vue/marketing/static/js/27.c1be3347fff06b41d0b5.js.map,3850,12,5,18,28,53,2,4502,0.00%,0.2888,2.34,0.1
客户余额1,3850,91,81,120,144,264,49,4594,0.00%,0.2888,4.67,0.56
563 /bp/static/css/chunk-a142.bcc94f67.css,3850,9,6,20,30,48,2,1006,0.00%,0.2888,0.29,0.12
564 /bp/static/js/chunk-a142.6baa873e.js,3850,9,5,18,26,48,2,1008,0.00%,0.2888,2.44,0.12
565 /api-financial-web/financial/api.do,3850,72,66,89,100,170,42,4531,0.00%,0.2888,1.95,0.32
栏目内容1,3850,160,147,209,250,374,95,4562,0.00%,0.2888,1.62,0.79
183 /bp/static/js/chunk-394a.9e878e27.js,3850,10,6,21,29,51,2,1007,0.00%,0.2888,0.87,0.12
184 /bp/static/css/chunk-394a.67dad1e5.css,3850,10,6,23,36,48,2,286,0.00%,0.2888,0.26,0.12
185 /api-decoration-web/decoration/api.do,3850,69,64,92,105,175,38,395,0.00%,0.2888,0.25,0.28
186 /api-decoration-web/decoration/api.do,3850,69,63,91,105,175,38,4475,0.00%,0.2888,0.25,0.28
推客奖励1,3850,116,95,166,206,362,57,4797,0.00%,0.28878,3.95,0.59
569 /bp/static/css/chunk-d7be.185c0ea1.css,3850,10,5,20,30,50,2,3071,0.00%,0.28878,0.41,0.12
570 /bp/static/js/chunk-d7be.dbe7916b.js,3850,11,7,22,34,56,2,438,0.00%,0.28878,2.82,0.12
571 /mkt-api/v1/b/recordMarketingPresent/statistics,3850,43,33,57,80,151,19,4631,0.00%,0.28878,0.11,0.17
572 /mkt-api/v1/b/recordMarketingPresent/detail-list,3850,51,43,66,90,244,27,1067,0.00%,0.28878,0.62,0.19
电子面单1,3850,91,78,123,150,297,17,4655,0.03%,0.28878,2.69,0.55
366 /bp/static/js/chunk-62c1.60b61cc0.js,3850,11,6,20,29,53,2,3030,0.00%,0.28878,2.08,0.12
365 /bp/static/css/chunk-62c1.dec5af7d.css,3850,9,6,21,29,48,2,1007,0.00%,0.28878,0.25,0.12
367 /api-order-web/order/api.do,3850,70,62,90,105,262,5,4639,0.03%,0.28878,0.36,0.32
客单价1,3850,165,153,211,243,382,88,3203,0.00%,0.28878,0.46,0.59
492 /api-behavior-web/behavior/api.do,3850,95,88,127,144,246,48,1263,0.00%,0.28878,0.31,0.31
491 /api-behavior-web/behavior/api.do,3850,69,61,93,110,217,35,3085,0.00%,0.28878,0.15,0.28
咨询1,3850,98,83,131,166,301,47,4659,0.00%,0.28877,5.14,0.54
204 /bp/static/css/chunk-4db3.3bb60565.css,3850,10,6,22,33,63,2,224,0.00%,0.28878,0.36,0.12
