Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,发送 KB/sec
收支明细--列表,3955,71,65,86,104,262,41,421,0.00%,0.28871,1.6,0.3
收支明细,3955,71,65,86,104,262,41,421,0.00%,0.28871,1.6,0.3
每日营收--列表,3955,69,62,84,100,188,36,4581,0.00%,0.28871,1.26,0.23
每日营收,3955,69,62,84,100,188,36,4581,0.00%,0.28871,1.26,0.23
提现明细--列表,3955,68,60,82,97,254,38,4586,0.00%,0.28873,1.82,0.26
提现明细,3955,68,60,82,97,254,38,4586,0.00%,0.28873,1.82,0.26
客户余额--列表,3955,71,63,86,98,174,37,4687,0.00%,0.28871,1.93,0.24
客户余额,3955,71,63,86,98,174,37,4687,0.00%,0.28871,1.93,0.24
积分明细--列表,3955,71,64,88,105,268,37,4317,0.00%,0.28871,1.87,0.24
积分明细,3955,71,64,88,105,268,37,4317,0.00%,0.28871,1.87,0.24
推客奖励--统计,3955,23,15,43,70,140,5,1027,0.00%,0.2887,0.11,0.08
推客奖励--详情列表,3955,32,25,44,58,119,14,4683,0.00%,0.28871,0.62,0.1
推客奖励,3955,56,42,90,125,245,21,4692,0.00%,0.2887,0.73,0.18
物流对账--列表,3955,69,61,84,99,261,38,4343,0.00%,0.28871,1.45,0.26
物流对账,3955,69,61,84,99,261,38,4343,0.00%,0.28871,1.45,0.26
短信成本--统计,3955,76,65,96,122,263,34,4353,0.00%,0.28871,0.11,0.07
短信成本--详细列表,3955,76,66,90,105,216,44,4600,0.00%,0.28871,0.18,0.1
短信成本,3955,153,134,184,226,378,88,4669,0.00%,0.2887,0.29,0.18
获取店铺信息,3955,48,43,60,71,140,22,4258,0.00%,0.28871,0.56,0.2
设置店铺信息,3955,70,63,88,102,262,36,4748,0.00%,0.28871,0.11,0.43
店铺信息,3955,118,108,145,172,322,65,4786,0.00%,0.2887,0.67,0.62
消息设置--列表信息,3955,104,94,134,165,307,42,4589,0.00%,0.28871,10.24,0.19
设置任意消息,3955,62,56,81,95,218,30,3094,0.00%,0.28871,0.11,0.21
